f4,2023-10-21 11:52:14.338692,in
f4,2023-10-21 11:52:19.461068,in
f4,2023-10-21 11:52:24.102737,out
f4,2023-10-21 11:54:06.916869,in
f4,2023-10-21 11:54:25.578938,in
elon,2023-10-21 11:55:18.670509,in
elon,2023-10-21 11:55:50.910026,in
elon,2023-10-21 11:56:08.535727,in
elon,2023-10-21 11:56:16.885318,in
f4,2023-10-21 11:56:28.186455,in
f4,2023-10-21 11:57:31.444986,in
f4,2023-10-21 11:57:36.803922,in
f4,2023-10-21 11:57:42.883129,in
f4,2023-10-21 11:57:47.673109,in
f4,2023-10-21 11:58:11.824855,out
f4,2023-10-21 11:58:16.973101,in
